erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
50,51000,0.560331,0.786542,13.2317,0,0,0,0,151878,0,0,0,217002,0,0,0,70789,0,0,0
51,52000,0.564306,0.789079,13.0346,0,0,0,0,150864,0,0,0,214337,0,0,0,70493,0,0,0
52,53000,0.567668,0.790798,12.8953,0,0,0,0,149774,0,0,0,212277,0,0,0,70281,0,0,0
53,54000,0.570886,0.793332,12.7117,0,0,0,0,148484,0,0,0,210223,0,0,0,70407,0,0,0
54,55000,0.574338,0.795606,12.5415,0,0,0,0,147454,0,0,0,208242,0,0,0,69966,0,0,0
55,56000,0.578231,0.798127,12.3491,0,0,0,0,145684,0,0,0,206683,0,0,0,69402,0,0,0
56,57000,0.581259,0.799137,12.2236,0,0,0,0,144609,0,0,0,204917,0,0,0,69215,0,0,0
57,58000,0.58468,0.802117,12.0476,0,0,0,0,143394,0,0,0,202917,0,0,0,69009,0,0,0
58,59000,0.587935,0.803595,11.9033,0,0,0,0,142817,0,0,0,200969,0,0,0,68279,0,0,0
59,60000,0.591661,0.806512,11.7234,0,0,0,0,141035,0,0,0,199982,0,0,0,67322,0,0,0
60,61000,0.593741,0.807829,11.6225,0,0,0,0,141115,0,0,0,198012,0,0,0,67132,0,0,0
61,62000,0.597341,0.810282,11.4557,0,0,0,0,139878,0,0,0,196378,0,0,0,66403,0,0,0
62,63000,0.600156,0.81244,11.3102,0,0,0,0,138586,0,0,0,194990,0,0,0,66268,0,0,0
63,64000,0.602862,0.813636,11.2015,0,0,0,0,137871,0,0,0,192982,0,0,0,66285,0,0,0
64,65000,0.605996,0.815747,11.0584,0,0,0,0,136777,0,0,0,191426,0,0,0,65801,0,0,0
65,66000,0.608626,0.817212,10.9508,0,0,0,0,135994,0,0,0,189781,0,0,0,65599,0,0,0
66,67000,0.611944,0.81896,10.8123,0,0,0,0,134607,0,0,0,188845,0,0,0,64604,0,0,0
67,68000,0.613826,0.820782,10.7134,0,0,0,0,134400,0,0,0,187609,0,0,0,64165,0,0,0
68,69000,0.616792,0.822541,10.5779,0,0,0,0,133216,0,0,0,186067,0,0,0,63925,0,0,0
69,70000,0.619947,0.82386,10.4701,0,0,0,0,132698,0,0,0,183963,0,0,0,63392,0,0,0
70,71000,0.622558,0.82629,10.3443,0,0,0,0,131544,0,0,0,183107,0,0,0,62791,0,0,0
71,72000,0.62438,0.827315,10.2562,0,0,0,0,131466,0,0,0,181610,0,0,0,62544,0,0,0
72,73000,0.627394,0.829184,10.1146,0,0,0,0,130307,0,0,0,180411,0,0,0,61888,0,0,0
73,74000,0.629238,0.830416,10.0604,0,0,0,0,129020,0,0,0,179259,0,0,0,62483,0,0,0
74,75000,0.631698,0.831803,9.94402,0,0,0,0,128609,0,0,0,177555,0,0,0,62138,0,0,0
75,76000,0.63449,0.833817,9.8153,0,0,0,0,127751,0,0,0,176653,0,0,0,61106,0,0,0
76,77000,0.636416,0.835848,9.70299,0,0,0,0,127412,0,0,0,175309,0,0,0,60863,0,0,0
77,78000,0.638434,0.83659,9.65619,0,0,0,0,126780,0,0,0,174401,0,0,0,60385,0,0,0
78,79000,0.640799,0.83695,9.57417,0,0,0,0,125174,0,0,0,173467,0,0,0,60560,0,0,0
79,80000,0.643577,0.838911,9.45773,0,0,0,0,124763,0,0,0,171965,0,0,0,59695,0,0,0
80,81000,0.645525,0.840064,9.38459,0,0,0,0,123918,0,0,0,170722,0,0,0,59835,0,0,0
81,82000,0.64684,0.841661,9.28725,0,0,0,0,123468,0,0,0,170583,0,0,0,59109,0,0,0
82,83000,0.648793,0.842529,9.21344,0,0,0,0,122858,0,0,0,169205,0,0,0,59144,0,0,0
83,84000,0.651084,0.843905,9.12932,0,0,0,0,121993,0,0,0,168062,0,0,0,58861,0,0,0
84,85000,0.652886,0.844622,9.06464,0,0,0,0,121738,0,0,0,166395,0,0,0,58981,0,0,0
85,86000,0.654984,0.846011,8.96437,0,0,0,0,120257,0,0,0,166244,0,0,0,58515,0,0,0
86,87000,0.657182,0.847313,8.88598,0,0,0,0,119940,0,0,0,165206,0,0,0,57672,0,0,0
87,88000,0.658743,0.848656,8.81505,0,0,0,0,119903,0,0,0,164005,0,0,0,57349,0,0,0
88,89000,0.660865,0.849628,8.73165,0,0,0,0,118582,0,0,0,163205,0,0,0,57348,0,0,0
89,90000,0.662428,0.851213,8.64459,0,0,0,0,117924,0,0,0,162629,0,0,0,57019,0,0,0
90,91000,0.664238,0.852177,8.58859,0,0,0,0,117638,0,0,0,161585,0,0,0,56539,0,0,0
91,92000,0.666334,0.852752,8.5286,0,0,0,0,117033,0,0,0,160572,0,0,0,56061,0,0,0
92,93000,0.668179,0.854753,8.42669,0,0,0,0,116587,0,0,0,159370,0,0,0,55864,0,0,0
93,94000,0.669932,0.855019,8.37505,0,0,0,0,115783,0,0,0,158581,0,0,0,55704,0,0,0
94,95000,0.671733,0.855667,8.3211,0,0,0,0,115541,0,0,0,157656,0,0,0,55070,0,0,0
95,96000,0.673057,0.85755,8.22823,0,0,0,0,115056,0,0,0,156912,0,0,0,54975,0,0,0
96,97000,0.674556,0.857817,8.20162,0,0,0,0,114230,0,0,0,155947,0,0,0,55267,0,0,0
97,98000,0.676108,0.858758,8.13077,0,0,0,0,113511,0,0,0,155545,0,0,0,54836,0,0,0
98,99000,0.677928,0.859837,8.06158,0,0,0,0,112901,0,0,0,154178,0,0,0,54993,0,0,0
99,100000,0.679467,0.861149,7.98843,0,0,0,0,112084,0,0,0,153533,0,0,0,54916,0,0,0
