erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
24,24000,0.0804449,0.250405,0.403637,10840,10000,1.55307e+06,919556,-25.9848,-21.0757,-18.5326,-14.2121,305267,288867,301945,23477,0,0,0,0,133214,102078,145675,19440,121500,131629,93747,3086,50553,55160,62523,951
25,25000,0.0845569,0.262682,0.411954,11208,10000,1.63477e+06,915444,-25.9848,-21.0757,-18.5326,-14.1639,304329,287225,299979,23911,0,0,0,0,131361,101577,145126,19382,120609,130263,94033,3366,52359,55385,60820,1163
26,26000,0.0888109,0.274972,0.41935,11689,10000,1.77078e+06,911190,-25.8491,-21.0757,-18.5326,-14.1639,303599,285347,298232,24012,0,0,0,0,131328,100746,142266,18918,119613,129527,96128,3743,52658,55074,59838,1351
27,27000,0.0917199,0.283115,0.427366,12034,10000,2.06311e+06,908281,-25.6853,-21.0757,-18.5326,-14.3099,303025,284580,296577,24099,0,0,0,0,130364,99333,139353,18559,119075,128969,98309,4027,53586,56278,58915,1513
28,28000,0.0952819,0.292931,0.431492,12100,10000,1.7723e+06,904719,-25.6853,-21.0757,-18.5326,-14.1639,302149,282370,296140,24060,0,0,0,0,130304,98864,137685,17469,118312,127389,99032,4622,53533,56117,59423,1969
29,29000,0.0985429,0.301568,0.43974,12992,10000,2.12635e+06,901458,-25.8491,-21.0757,-18.5326,-14.1639,301468,281139,294945,23906,0,0,0,0,129989,99203,135945,16743,117860,125589,99317,4699,53619,56347,59683,2464
30,30000,0.102113,0.310972,0.446787,13403,10000,2.01551e+06,897888,-25.6853,-21.0757,-18.5326,-14.1639,300402,280676,292872,23938,0,0,0,0,129673,99225,132358,16569,116884,123541,99677,4467,53845,57910,60837,2902
31,31000,0.10465,0.317107,0.456501,13314,10000,1.85709e+06,895351,-25.6853,-21.0757,-18.5326,-14.1639,299718,278861,293098,23674,0,0,0,0,129186,100778,131385,15869,116438,122027,98708,4515,54094,56056,63005,3290
32,32000,0.108242,0.32562,0.464823,13875,10000,1.98831e+06,891759,-25.6853,-21.0757,-18.5326,-14.1639,298961,277861,290984,23953,0,0,0,0,129713,100614,130056,16118,115851,120088,97152,4577,53397,57159,63776,3258
33,33000,0.110528,0.331306,0.473208,14985,10000,2.09678e+06,889473,-25.6853,-21.0757,-18.5326,-14.1639,298219,276337,291156,23761,0,0,0,0,128844,101321,131218,16107,116042,118280,94587,4234,53333,56736,65351,3420
34,34000,0.113195,0.337786,0.478939,16082,10000,1.99015e+06,886806,-25.6853,-21.0757,-18.5326,-14.1639,297314,276076,289833,23583,0,0,0,0,128982,101866,129844,16570,114612,117797,92773,3952,53720,56413,67216,3061
