erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
81,81000,0.249545,0.619029,0.731016,8402,1388,4.57568e+06,750456,-25.0158,-22.583,-99,-99,740336,10120,0,0,0,0,0,0,0,0,0,0,415789,6311,0,0,324547,3809,0,0
82,82000,0.252121,0.623225,0.731293,10200,1388,4.83621e+06,747880,-25.0158,-22.583,-99,-99,737810,10070,0,0,0,0,0,0,0,0,0,0,416116,6021,0,0,321694,4049,0,0
83,83000,0.253679,0.62382,0.736359,8697,1388,4.74641e+06,746322,-25.0158,-22.583,-99,-99,735831,10491,0,0,0,0,0,0,0,0,0,0,413417,6409,0,0,322414,4082,0,0
84,84000,0.256554,0.627952,0.738013,8485,1388,4.90845e+06,743447,-25.0158,-22.4622,-99,-99,733375,10072,0,0,0,0,0,0,0,0,0,0,412894,5958,0,0,320481,4114,0,0
85,85000,0.259352,0.632502,0.74061,7963,1388,4.58762e+06,740649,-25.0158,-22.583,-99,-99,730351,10298,0,0,0,0,0,0,0,0,0,0,411133,6302,0,0,319218,3996,0,0
86,86000,0.261877,0.635817,0.744313,7642,1388,4.98043e+06,738124,-25.0158,-22.583,-99,-99,727675,10449,0,0,0,0,0,0,0,0,0,0,410109,6305,0,0,317566,4144,0,0
87,87000,0.263992,0.638526,0.744761,7647,1388,4.75785e+06,736009,-25.0158,-22.583,-99,-99,725507,10502,0,0,0,0,0,0,0,0,0,0,410392,6484,0,0,315115,4018,0,0
88,88000,0.26617,0.641949,0.746061,8335,1388,5.11518e+06,733831,-25.0158,-22.4622,-99,-99,723720,10111,0,0,0,0,0,0,0,0,0,0,408556,6226,0,0,315164,3885,0,0
89,89000,0.267906,0.642888,0.7475,8002,1388,4.95649e+06,732095,-25.0158,-22.583,-99,-99,721473,10622,0,0,0,0,0,0,0,0,0,0,407340,6556,0,0,314133,4066,0,0
90,90000,0.271036,0.647726,0.749851,8427,1388,5.31083e+06,728965,-25.0158,-22.583,-99,-99,718631,10334,0,0,0,0,0,0,0,0,0,0,404325,6268,0,0,314306,4066,0,0
