erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
68,68000,0.300546,0.652407,0.765919,25646,12700,3.73169e+06,699455,-25.2275,-21.0757,-18.5024,-14.3099,246106,266980,176524,9845,0,0,0,0,0,0,0,0,123234,131229,117891,7737,122872,135751,58633,2108
69,69000,0.303199,0.654584,0.764433,24670,12700,4.06016e+06,696802,-25.2275,-21.0757,-18.5024,-14.2607,245573,265661,176135,9433,0,0,0,0,0,0,0,0,122605,131984,117434,7420,122968,133677,58701,2013
70,70000,0.306706,0.658924,0.766301,26350,12700,3.33287e+06,693295,-25.2275,-21.0757,-18.5024,-14.1639,243910,264594,175333,9458,0,0,0,0,0,0,0,0,122427,130427,117594,7477,121483,134167,57739,1981
71,71000,0.309647,0.662231,0.770667,26069,12700,4.08057e+06,690354,-25.2275,-21.0757,-18.5024,-14.3099,242920,263368,174724,9342,0,0,0,0,0,0,0,0,121979,130637,116875,7429,120941,132731,57849,1913
72,72000,0.312189,0.665751,0.770229,26504,12700,4.34048e+06,687812,-25.2275,-21.0757,-18.5024,-14.3099,241854,262177,174758,9023,0,0,0,0,0,0,0,0,122426,130124,117869,7116,119428,132053,56889,1907
73,73000,0.31538,0.668798,0.774583,32635,12700,4.02688e+06,684621,-25.2275,-21.0757,-18.5024,-14.3099,240920,261126,173616,8959,0,0,0,0,0,0,0,0,121262,129566,116597,7295,119658,131560,57019,1664
74,74000,0.318724,0.672162,0.777042,24844,12700,4.33798e+06,681277,-25.2275,-21.0757,-18.5024,-14.3099,239362,259472,173810,8633,0,0,0,0,0,0,0,0,120479,129024,117617,6895,118883,130448,56193,1738
75,75000,0.320858,0.67429,0.778728,28051,12700,4.69976e+06,679143,-25.2275,-21.0757,-18.5024,-14.3099,239275,258257,173117,8494,0,0,0,0,0,0,0,0,121506,128628,115671,6820,117769,129629,57446,1674
76,76000,0.323666,0.677581,0.780493,24886,12700,4.2684e+06,676335,-25.2275,-21.0757,-18.5024,-14.3099,238252,256516,173196,8371,0,0,0,0,0,0,0,0,121090,127787,116039,6831,117162,128729,57157,1540
77,77000,0.326007,0.679801,0.783539,29597,12700,4.24338e+06,673994,-25.2275,-21.0757,-18.5024,-14.3099,237394,255752,172480,8368,0,0,0,0,0,0,0,0,120338,127819,115410,6935,117056,127933,57070,1433
78,78000,0.329259,0.683268,0.785572,31027,12700,4.37118e+06,670742,-25.2275,-21.0757,-18.5024,-14.2607,235954,254587,172088,8113,0,0,0,0,0,0,0,0,120248,126342,115348,6530,115706,128245,56740,1583
79,79000,0.331547,0.68585,0.786069,34458,12700,4.20544e+06,668454,-25.2275,-21.0757,-18.5024,-14.3099,235324,252801,172379,7950,0,0,0,0,0,0,0,0,119667,125341,115476,6579,115657,127460,56903,1371
80,80000,0.334012,0.687538,0.78638,28697,12700,4.38368e+06,665989,-25.2275,-21.0757,-18.5024,-14.3099,235027,251028,171877,8057,0,0,0,0,0,0,0,0,120520,124584,115098,6735,114507,126444,56779,1322
81,81000,0.336446,0.690836,0.791703,25026,12700,4.63131e+06,663555,-25.2275,-21.0757,-18.5024,-14.3099,233846,249914,171568,8227,0,0,0,0,0,0,0,0,120210,123653,115545,6817,113636,126261,56023,1410
82,82000,0.338681,0.693375,0.79908,32020,12700,4.54165e+06,661320,-25.2275,-21.0757,-18.5024,-14.3099,232905,248648,171561,8206,0,0,0,0,0,0,0,0,119967,124141,115047,6911,112938,124507,56514,1295
83,83000,0.341643,0.695364,0.797381,32041,12700,4.36345e+06,658358,-25.2275,-21.0757,-18.5024,-14.3099,232133,246221,171702,8302,0,0,0,0,0,0,0,0,119498,123153,115642,6996,112635,123068,56060,1306
84,84000,0.344106,0.69653,0.797996,28819,12700,4.20057e+06,655895,-25.2275,-21.0757,-18.5024,-14.3099,231810,245568,170720,7797,0,0,0,0,0,0,0,0,119770,122371,115083,6586,112040,123197,55637,1211
85,85000,0.347245,0.700182,0.801093,29640,12700,4.49664e+06,652756,-25.2275,-21.0757,-18.5024,-14.3099,230798,244298,169386,8274,0,0,0,0,0,0,0,0,119616,121596,114052,7045,111182,122702,55334,1229
86,86000,0.350148,0.702157,0.801743,27752,12700,4.48409e+06,649853,-25.2275,-21.0757,-18.5024,-14.3099,229809,243043,168860,8141,0,0,0,0,0,0,0,0,119686,121096,113718,6939,110123,121947,55142,1202
87,87000,0.353579,0.704388,0.804809,25353,12700,4.76313e+06,646422,-25.2275,-21.0757,-18.5024,-14.3099,229339,241685,167206,8192,0,0,0,0,0,0,0,0,119015,120720,112960,7009,110324,120965,54246,1183
88,88000,0.356065,0.706739,0.80549,28411,12700,4.50798e+06,643936,-25.2275,-21.0757,-18.5024,-14.3099,228609,240914,166416,7997,0,0,0,0,0,0,0,0,119907,119319,112182,6781,108702,121595,54234,1216
89,89000,0.359411,0.708819,0.806546,24255,12700,4.67463e+06,640590,-25.2275,-21.0757,-18.5024,-14.2607,228055,239560,165415,7560,0,0,0,0,0,0,0,0,119861,118452,112000,6478,108194,121108,53415,1082
90,90000,0.362748,0.711312,0.808505,22974,12700,4.62056e+06,637253,-25.2275,-21.0757,-18.5024,-14.3099,227091,237980,164263,7919,0,0,0,0,0,0,0,0,118362,118489,110459,6808,108729,119491,53804,1111
91,91000,0.365725,0.713105,0.811279,24502,12700,4.36968e+06,634276,-25.2275,-21.0757,-18.5326,-14.3099,226219,237984,162373,7700,0,0,0,0,0,0,0,0,119053,117779,109170,6570,107166,120205,53203,1130
92,92000,0.369034,0.715342,0.812965,25689,12700,5.11406e+06,630967,-25.2275,-21.0757,-18.5024,-14.3099,225546,236215,161618,7588,0,0,0,0,0,0,0,0,118969,117874,108276,6509,106577,118341,53342,1079
93,93000,0.371895,0.716908,0.812985,23807,12700,4.99889e+06,628106,-25.2275,-21.0757,-18.5024,-14.2607,225343,235259,160088,7416,0,0,0,0,0,0,0,0,119055,117597,107919,6290,106288,117662,52169,1126
94,94000,0.374616,0.71865,0.814289,24608,12700,5.22928e+06,625385,-25.2275,-21.0757,-18.5024,-14.3099,225093,234161,158723,7408,0,0,0,0,0,0,0,0,119532,116347,106702,6386,105561,117814,52021,1022
95,95000,0.378142,0.720854,0.814817,26353,12700,5.45059e+06,621859,-25.2275,-21.0757,-18.5024,-14.3099,223918,234024,156839,7078,0,0,0,0,0,0,0,0,118850,117036,105054,6091,105068,116988,51785,987
96,96000,0.380579,0.722073,0.818745,24694,12700,5.18797e+06,619422,-25.2275,-21.0757,-18.5024,-14.3099,223336,232511,156451,7124,0,0,0,0,0,0,0,0,119070,115980,105244,6100,104266,116531,51207,1024
97,97000,0.38372,0.725059,0.817981,23820,12700,4.9228e+06,616281,-25.2275,-21.0757,-18.5024,-14.3099,222408,231341,155597,6935,0,0,0,0,0,0,0,0,118369,115969,104304,5945,104039,115372,51293,990
98,98000,0.386023,0.726139,0.822808,27141,12700,5.05734e+06,613978,-25.2275,-21.0757,-18.5024,-14.3099,222251,231700,152931,7096,0,0,0,0,0,0,0,0,118804,115827,102946,6037,103447,115873,49985,1059
99,99000,0.389364,0.728592,0.825499,21181,12700,5.11106e+06,610637,-25.2275,-21.0757,-18.5024,-14.3099,221253,229274,153319,6791,0,0,0,0,0,0,0,0,118526,115108,103309,5802,102727,114166,50010,989
100,100000,0.392819,0.731806,0.823115,23339,12700,5.2764e+06,607182,-25.2275,-21.0757,-18.5024,-14.3099,220026,229515,150964,6677,0,0,0,0,0,0,0,0,118026,114895,102031,5733,102000,114620,48933,944
