erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 52, erlang: 52000, general blocking: 0.0542449, BBP: 0.167021, Total current utilization: 0.391024, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.75511e+07, conexiones exitosas: 945756, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :55554, conexiones exitosas con 8QAM :890202, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 53, erlang: 53000, general blocking: 0.0559769, BBP: 0.171422, Total current utilization: 0.394617, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.77458e+07, conexiones exitosas: 944024, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :55084, conexiones exitosas con 8QAM :888940, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 54, erlang: 54000, general blocking: 0.0582279, BBP: 0.178073, Total current utilization: 0.395198, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.85077e+07, conexiones exitosas: 941773, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :56097, conexiones exitosas con 8QAM :885676, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 55, erlang: 55000, general blocking: 0.0600149, BBP: 0.183024, Total current utilization: 0.39957, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.85212e+07, conexiones exitosas: 939986, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :53766, conexiones exitosas con 8QAM :886220, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 56, erlang: 56000, general blocking: 0.0616479, BBP: 0.187328, Total current utilization: 0.403613, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.8673e+07, conexiones exitosas: 938353, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :55713, conexiones exitosas con 8QAM :882640, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 57, erlang: 57000, general blocking: 0.0640259, BBP: 0.193595, Total current utilization: 0.406844, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.88511e+07, conexiones exitosas: 935975, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :54168, conexiones exitosas con 8QAM :881807, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 58, erlang: 58000, general blocking: 0.0658519, BBP: 0.199246, Total current utilization: 0.409077, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.9193e+07, conexiones exitosas: 934149, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :54372, conexiones exitosas con 8QAM :879777, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 59, erlang: 59000, general blocking: 0.0679099, BBP: 0.204096, Total current utilization: 0.414017, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.95263e+07, conexiones exitosas: 932091, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :53278, conexiones exitosas con 8QAM :878813, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 60, erlang: 60000, general blocking: 0.0694679, BBP: 0.208323, Total current utilization: 0.416938, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.97696e+07, conexiones exitosas: 930533, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :54748, conexiones exitosas con 8QAM :875785, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 61, erlang: 61000, general blocking: 0.0704729, BBP: 0.210614, Total current utilization: 0.417716, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.99603e+07, conexiones exitosas: 929528, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :54837, conexiones exitosas con 8QAM :874691, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 62, erlang: 62000, general blocking: 0.0733369, BBP: 0.218093, Total current utilization: 0.422886, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 2.00837e+07, conexiones exitosas: 926664, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -24.8958, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :52871, conexiones exitosas con 8QAM :873792, conexiones exitosas con QPSK :1, conexiones exitosas con BPSK :0
erlang index: 63, erlang: 63000, general blocking: 0.0746229, BBP: 0.220905, Total current utilization: 0.425744, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 2.03377e+07, conexiones exitosas: 925378, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -24.8958, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :53119, conexiones exitosas con 8QAM :872259, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 64, erlang: 64000, general blocking: 0.0761199, BBP: 0.224791, Total current utilization: 0.429307, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 2.08901e+07, conexiones exitosas: 923881, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -24.879, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :53017, conexiones exitosas con 8QAM :870859, conexiones exitosas con QPSK :5, conexiones exitosas con BPSK :0
erlang index: 65, erlang: 65000, general blocking: 0.0779339, BBP: 0.22912, Total current utilization: 0.431653, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 2.10995e+07, conexiones exitosas: 922067, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -24.879, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :53021, conexiones exitosas con 8QAM :869043, conexiones exitosas con QPSK :3, conexiones exitosas con BPSK :0
erlang index: 66, erlang: 66000, general blocking: 0.0805209, BBP: 0.235248, Total current utilization: 0.434696, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 2.13758e+07, conexiones exitosas: 919480, Max XT for modulation 16QAM: -24.8958, Max XT for modulation 8QAM: -25.2234, Max XT for modulation QPSK: -24.879, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :51130, conexiones exitosas con 8QAM :868348, conexiones exitosas con QPSK :2, conexiones exitosas con BPSK :0
