erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 13, erlang: 13000, general blocking: 0, BBP: 0, Total current utilization: 0.11446, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 4.27684e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :940440, conexiones exitosas con 8QAM :59561, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 14, erlang: 14000, general blocking: 0, BBP: 0, Total current utilization: 0.123708, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 4.57514e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :938474, conexiones exitosas con 8QAM :61527, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 15, erlang: 15000, general blocking: 0, BBP: 0, Total current utilization: 0.131859, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 4.92184e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :937538, conexiones exitosas con 8QAM :62463, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 16, erlang: 16000, general blocking: 0, BBP: 0, Total current utilization: 0.140575, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 5.32022e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :937219, conexiones exitosas con 8QAM :62782, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 17, erlang: 17000, general blocking: 0, BBP: 0, Total current utilization: 0.149622, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 6.15535e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :934157, conexiones exitosas con 8QAM :65844, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 18, erlang: 18000, general blocking: 0, BBP: 0, Total current utilization: 0.158045, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 6.64385e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :930148, conexiones exitosas con 8QAM :69853, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 19, erlang: 19000, general blocking: 0, BBP: 0, Total current utilization: 0.166069, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 6.95205e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :927555, conexiones exitosas con 8QAM :72446, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 20, erlang: 20000, general blocking: 0, BBP: 0, Total current utilization: 0.174772, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 7.38605e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -27.9236, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :924118, conexiones exitosas con 8QAM :75883, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 21, erlang: 21000, general blocking: 0, BBP: 0, Total current utilization: 0.183446, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 7.79508e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.2234, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :919289, conexiones exitosas con 8QAM :80712, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 22, erlang: 22000, general blocking: 0, BBP: 0, Total current utilization: 0.191703, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 8.2111e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.2234, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :917988, conexiones exitosas con 8QAM :82013, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 23, erlang: 23000, general blocking: 6.99999e-06, BBP: 2.19349e-05, Total current utilization: 0.199504, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 8.3692e+06, conexiones exitosas: 999994, Max XT for modulation 16QAM: -25.2234, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :917638, conexiones exitosas con 8QAM :82356, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 24, erlang: 24000, general blocking: 2.7e-05, BBP: 8.46061e-05, Total current utilization: 0.207346, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 9.02241e+06, conexiones exitosas: 999974, Max XT for modulation 16QAM: -25.2234, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :915684, conexiones exitosas con 8QAM :84290, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 25, erlang: 25000, general blocking: 3.4e-05, BBP: 0.000106541, Total current utilization: 0.21572, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 9.56787e+06, conexiones exitosas: 999967, Max XT for modulation 16QAM: -25.2234, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :914688, conexiones exitosas con 8QAM :85279, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
