erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 56, erlang: 56000, general blocking: 0.0525139, BBP: 0.164556, Total current utilization: 0.409912, Blocked by XT: 1533, Ruta mas larga: 1325, tiempo transcurrido: 1.67734e+07, conexiones exitosas: 947487, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :47687, conexiones exitosas con 8QAM :855036, conexiones exitosas con QPSK :44764, conexiones exitosas con BPSK :0
erlang index: 57, erlang: 57000, general blocking: 0.0544289, BBP: 0.170557, Total current utilization: 0.41407, Blocked by XT: 1559, Ruta mas larga: 1325, tiempo transcurrido: 1.71074e+07, conexiones exitosas: 945572, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :47278, conexiones exitosas con 8QAM :853049, conexiones exitosas con QPSK :45245, conexiones exitosas con BPSK :0
erlang index: 58, erlang: 58000, general blocking: 0.0559109, BBP: 0.175201, Total current utilization: 0.418492, Blocked by XT: 1552, Ruta mas larga: 1325, tiempo transcurrido: 1.73332e+07, conexiones exitosas: 944090, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :47738, conexiones exitosas con 8QAM :853223, conexiones exitosas con QPSK :43129, conexiones exitosas con BPSK :0
erlang index: 59, erlang: 59000, general blocking: 0.0577599, BBP: 0.180994, Total current utilization: 0.42209, Blocked by XT: 1630, Ruta mas larga: 1325, tiempo transcurrido: 1.77204e+07, conexiones exitosas: 942241, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :46882, conexiones exitosas con 8QAM :851918, conexiones exitosas con QPSK :43441, conexiones exitosas con BPSK :0
erlang index: 60, erlang: 60000, general blocking: 0.0595249, BBP: 0.186525, Total current utilization: 0.425123, Blocked by XT: 1638, Ruta mas larga: 1325, tiempo transcurrido: 1.80162e+07, conexiones exitosas: 940476, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :46439, conexiones exitosas con 8QAM :851559, conexiones exitosas con QPSK :42478, conexiones exitosas con BPSK :0
erlang index: 61, erlang: 61000, general blocking: 0.0611329, BBP: 0.191564, Total current utilization: 0.42952, Blocked by XT: 1689, Ruta mas larga: 1325, tiempo transcurrido: 1.85275e+07, conexiones exitosas: 938868, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :47085, conexiones exitosas con 8QAM :847239, conexiones exitosas con QPSK :44544, conexiones exitosas con BPSK :0
erlang index: 62, erlang: 62000, general blocking: 0.0629319, BBP: 0.197199, Total current utilization: 0.432342, Blocked by XT: 1672, Ruta mas larga: 1325, tiempo transcurrido: 1.87172e+07, conexiones exitosas: 937069, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :47123, conexiones exitosas con 8QAM :844619, conexiones exitosas con QPSK :45327, conexiones exitosas con BPSK :0
erlang index: 63, erlang: 63000, general blocking: 0.0652269, BBP: 0.204393, Total current utilization: 0.435718, Blocked by XT: 1745, Ruta mas larga: 1325, tiempo transcurrido: 1.9156e+07, conexiones exitosas: 934774, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :46471, conexiones exitosas con 8QAM :845776, conexiones exitosas con QPSK :42527, conexiones exitosas con BPSK :0
erlang index: 64, erlang: 64000, general blocking: 0.0667419, BBP: 0.20914, Total current utilization: 0.438987, Blocked by XT: 1728, Ruta mas larga: 1325, tiempo transcurrido: 1.95141e+07, conexiones exitosas: 933259, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :45843, conexiones exitosas con 8QAM :845240, conexiones exitosas con QPSK :42176, conexiones exitosas con BPSK :0
erlang index: 65, erlang: 65000, general blocking: 0.0677839, BBP: 0.212405, Total current utilization: 0.440622, Blocked by XT: 1895, Ruta mas larga: 1325, tiempo transcurrido: 1.9665e+07, conexiones exitosas: 932217, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :45394, conexiones exitosas con 8QAM :844181, conexiones exitosas con QPSK :42642, conexiones exitosas con BPSK :0
erlang index: 66, erlang: 66000, general blocking: 0.0699279, BBP: 0.219124, Total current utilization: 0.445463, Blocked by XT: 1989, Ruta mas larga: 1325, tiempo transcurrido: 1.9987e+07, conexiones exitosas: 930073, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :44849, conexiones exitosas con 8QAM :841204, conexiones exitosas con QPSK :44020, conexiones exitosas con BPSK :0
erlang index: 67, erlang: 67000, general blocking: 0.0718189, BBP: 0.225044, Total current utilization: 0.448226, Blocked by XT: 1846, Ruta mas larga: 1325, tiempo transcurrido: 2.03415e+07, conexiones exitosas: 928182, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :44998, conexiones exitosas con 8QAM :840047, conexiones exitosas con QPSK :43137, conexiones exitosas con BPSK :0
erlang index: 68, erlang: 68000, general blocking: 0.0731449, BBP: 0.229197, Total current utilization: 0.453132, Blocked by XT: 1901, Ruta mas larga: 1325, tiempo transcurrido: 2.07804e+07, conexiones exitosas: 926856, Max XT for modulation 16QAM: -22.5434, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :45891, conexiones exitosas con 8QAM :836639, conexiones exitosas con QPSK :44326, conexiones exitosas con BPSK :0
