erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 53, erlang: 53000, general blocking: 0.151684, BBP: 0.406074, Total current utilization: 0.457188, Blocked by XT: 36417, Ruta mas larga: 10300, tiempo transcurrido: 1.79891e+07, conexiones exitosas: 848317, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :141253, conexiones exitosas con 8QAM :214715, conexiones exitosas con QPSK :325702, conexiones exitosas con BPSK :166647
erlang index: 54, erlang: 54000, general blocking: 0.153569, BBP: 0.409667, Total current utilization: 0.459367, Blocked by XT: 37756, Ruta mas larga: 10300, tiempo transcurrido: 1.85531e+07, conexiones exitosas: 846432, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :141693, conexiones exitosas con 8QAM :214516, conexiones exitosas con QPSK :323810, conexiones exitosas con BPSK :166413
erlang index: 55, erlang: 55000, general blocking: 0.155887, BBP: 0.414712, Total current utilization: 0.463356, Blocked by XT: 38808, Ruta mas larga: 10300, tiempo transcurrido: 1.82895e+07, conexiones exitosas: 844114, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :141651, conexiones exitosas con 8QAM :214476, conexiones exitosas con QPSK :320920, conexiones exitosas con BPSK :167067
erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 56, erlang: 56000, general blocking: 0.161325, BBP: 0.425342, Total current utilization: 0.480214, Blocked by XT: 46948, Ruta mas larga: 10300, tiempo transcurrido: 1.32888e+07, conexiones exitosas: 838676, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :19554, conexiones exitosas con 8QAM :314041, conexiones exitosas con QPSK :337074, conexiones exitosas con BPSK :168007
erlang index: 57, erlang: 57000, general blocking: 0.162436, BBP: 0.428027, Total current utilization: 0.485757, Blocked by XT: 48431, Ruta mas larga: 10300, tiempo transcurrido: 1.38276e+07, conexiones exitosas: 837565, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :19547, conexiones exitosas con 8QAM :311995, conexiones exitosas con QPSK :336390, conexiones exitosas con BPSK :169633
erlang index: 58, erlang: 58000, general blocking: 0.164639, BBP: 0.431942, Total current utilization: 0.491529, Blocked by XT: 48792, Ruta mas larga: 10300, tiempo transcurrido: 1.43139e+07, conexiones exitosas: 835362, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20313, conexiones exitosas con 8QAM :311874, conexiones exitosas con QPSK :334382, conexiones exitosas con BPSK :168793
erlang index: 59, erlang: 59000, general blocking: 0.166952, BBP: 0.435847, Total current utilization: 0.49278, Blocked by XT: 51454, Ruta mas larga: 10300, tiempo transcurrido: 1.45969e+07, conexiones exitosas: 833049, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20143, conexiones exitosas con 8QAM :310550, conexiones exitosas con QPSK :333270, conexiones exitosas con BPSK :169086
erlang index: 60, erlang: 60000, general blocking: 0.168742, BBP: 0.438805, Total current utilization: 0.496248, Blocked by XT: 53634, Ruta mas larga: 10300, tiempo transcurrido: 1.47125e+07, conexiones exitosas: 831259, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20328, conexiones exitosas con 8QAM :310489, conexiones exitosas con QPSK :330964, conexiones exitosas con BPSK :169478
erlang index: 61, erlang: 61000, general blocking: 0.170717, BBP: 0.441578, Total current utilization: 0.501898, Blocked by XT: 53926, Ruta mas larga: 10300, tiempo transcurrido: 1.51565e+07, conexiones exitosas: 829284, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20506, conexiones exitosas con 8QAM :308887, conexiones exitosas con QPSK :329733, conexiones exitosas con BPSK :170158
erlang index: 62, erlang: 62000, general blocking: 0.172657, BBP: 0.445779, Total current utilization: 0.504333, Blocked by XT: 56450, Ruta mas larga: 10300, tiempo transcurrido: 1.54332e+07, conexiones exitosas: 827344, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20633, conexiones exitosas con 8QAM :307196, conexiones exitosas con QPSK :330371, conexiones exitosas con BPSK :169144
erlang index: 63, erlang: 63000, general blocking: 0.174243, BBP: 0.447409, Total current utilization: 0.505879, Blocked by XT: 57929, Ruta mas larga: 10300, tiempo transcurrido: 1.56609e+07, conexiones exitosas: 825758, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20869, conexiones exitosas con 8QAM :307018, conexiones exitosas con QPSK :328406, conexiones exitosas con BPSK :169465
erlang index: 64, erlang: 64000, general blocking: 0.176255, BBP: 0.45105, Total current utilization: 0.509441, Blocked by XT: 59225, Ruta mas larga: 12700, tiempo transcurrido: 1.59496e+07, conexiones exitosas: 823746, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20775, conexiones exitosas con 8QAM :307136, conexiones exitosas con QPSK :328156, conexiones exitosas con BPSK :167679
erlang index: 65, erlang: 65000, general blocking: 0.178272, BBP: 0.454553, Total current utilization: 0.512711, Blocked by XT: 60798, Ruta mas larga: 12700, tiempo transcurrido: 1.62791e+07, conexiones exitosas: 821729, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20892, conexiones exitosas con 8QAM :305764, conexiones exitosas con QPSK :327508, conexiones exitosas con BPSK :167565
erlang index: 66, erlang: 66000, general blocking: 0.180387, BBP: 0.457815, Total current utilization: 0.515321, Blocked by XT: 62648, Ruta mas larga: 12700, tiempo transcurrido: 1.64831e+07, conexiones exitosas: 819614, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20523, conexiones exitosas con 8QAM :305770, conexiones exitosas con QPSK :325292, conexiones exitosas con BPSK :168029
erlang index: 67, erlang: 67000, general blocking: 0.181966, BBP: 0.46007, Total current utilization: 0.519329, Blocked by XT: 61853, Ruta mas larga: 12700, tiempo transcurrido: 1.67359e+07, conexiones exitosas: 818035, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21004, conexiones exitosas con 8QAM :303756, conexiones exitosas con QPSK :326343, conexiones exitosas con BPSK :166932
erlang index: 68, erlang: 68000, general blocking: 0.183816, BBP: 0.463212, Total current utilization: 0.522604, Blocked by XT: 64543, Ruta mas larga: 12700, tiempo transcurrido: 1.69191e+07, conexiones exitosas: 816185, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21500, conexiones exitosas con 8QAM :303438, conexiones exitosas con QPSK :323911, conexiones exitosas con BPSK :167336
erlang index: 69, erlang: 69000, general blocking: 0.185495, BBP: 0.466296, Total current utilization: 0.524512, Blocked by XT: 65162, Ruta mas larga: 12700, tiempo transcurrido: 1.70465e+07, conexiones exitosas: 814506, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20882, conexiones exitosas con 8QAM :302838, conexiones exitosas con QPSK :324329, conexiones exitosas con BPSK :166457
erlang index: 70, erlang: 70000, general blocking: 0.187294, BBP: 0.469083, Total current utilization: 0.527821, Blocked by XT: 64181, Ruta mas larga: 12700, tiempo transcurrido: 1.73342e+07, conexiones exitosas: 812707, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21489, conexiones exitosas con 8QAM :302496, conexiones exitosas con QPSK :322592, conexiones exitosas con BPSK :166130
erlang index: 71, erlang: 71000, general blocking: 0.188712, BBP: 0.470768, Total current utilization: 0.529534, Blocked by XT: 67152, Ruta mas larga: 12700, tiempo transcurrido: 1.73712e+07, conexiones exitosas: 811289, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21347, conexiones exitosas con 8QAM :301568, conexiones exitosas con QPSK :322764, conexiones exitosas con BPSK :165610
erlang index: 72, erlang: 72000, general blocking: 0.19098, BBP: 0.474723, Total current utilization: 0.5316, Blocked by XT: 65835, Ruta mas larga: 12700, tiempo transcurrido: 1.76725e+07, conexiones exitosas: 809021, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21607, conexiones exitosas con 8QAM :300757, conexiones exitosas con QPSK :320493, conexiones exitosas con BPSK :166164
erlang index: 73, erlang: 73000, general blocking: 0.192374, BBP: 0.476652, Total current utilization: 0.534932, Blocked by XT: 68443, Ruta mas larga: 12700, tiempo transcurrido: 1.78884e+07, conexiones exitosas: 807627, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21680, conexiones exitosas con 8QAM :299688, conexiones exitosas con QPSK :320211, conexiones exitosas con BPSK :166048
erlang index: 74, erlang: 74000, general blocking: 0.193739, BBP: 0.478854, Total current utilization: 0.538622, Blocked by XT: 69237, Ruta mas larga: 12700, tiempo transcurrido: 1.80885e+07, conexiones exitosas: 806262, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21515, conexiones exitosas con 8QAM :298116, conexiones exitosas con QPSK :320052, conexiones exitosas con BPSK :166579
erlang index: 75, erlang: 75000, general blocking: 0.195687, BBP: 0.482588, Total current utilization: 0.540593, Blocked by XT: 69253, Ruta mas larga: 12700, tiempo transcurrido: 1.82847e+07, conexiones exitosas: 804314, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20858, conexiones exitosas con 8QAM :298820, conexiones exitosas con QPSK :318826, conexiones exitosas con BPSK :165810
erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 76, erlang: 76000, general blocking: 0.196665, BBP: 0.48268, Total current utilization: 0.546561, Blocked by XT: 67498, Ruta mas larga: 12700, tiempo transcurrido: 1.16835e+07, conexiones exitosas: 803336, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21280, conexiones exitosas con 8QAM :298401, conexiones exitosas con QPSK :316906, conexiones exitosas con BPSK :166749
erlang index: 77, erlang: 77000, general blocking: 0.198875, BBP: 0.486822, Total current utilization: 0.548152, Blocked by XT: 69948, Ruta mas larga: 12700, tiempo transcurrido: 1.35787e+07, conexiones exitosas: 801126, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21670, conexiones exitosas con 8QAM :297357, conexiones exitosas con QPSK :315614, conexiones exitosas con BPSK :166485
erlang index: 78, erlang: 78000, general blocking: 0.200048, BBP: 0.48899, Total current utilization: 0.552874, Blocked by XT: 70807, Ruta mas larga: 12700, tiempo transcurrido: 1.54336e+07, conexiones exitosas: 799953, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20875, conexiones exitosas con 8QAM :297285, conexiones exitosas con QPSK :316175, conexiones exitosas con BPSK :165618
erlang index: 79, erlang: 79000, general blocking: 0.201993, BBP: 0.492231, Total current utilization: 0.552913, Blocked by XT: 72582, Ruta mas larga: 12700, tiempo transcurrido: 1.46989e+07, conexiones exitosas: 798008, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20981, conexiones exitosas con 8QAM :295912, conexiones exitosas con QPSK :315319, conexiones exitosas con BPSK :165796
erlang index: 80, erlang: 80000, general blocking: 0.203023, BBP: 0.493656, Total current utilization: 0.555122, Blocked by XT: 72398, Ruta mas larga: 12700, tiempo transcurrido: 1.63363e+07, conexiones exitosas: 796978, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21501, conexiones exitosas con 8QAM :294941, conexiones exitosas con QPSK :313641, conexiones exitosas con BPSK :166895
erlang index: 81, erlang: 81000, general blocking: 0.204372, BBP: 0.495931, Total current utilization: 0.559455, Blocked by XT: 69792, Ruta mas larga: 12700, tiempo transcurrido: 1.53454e+07, conexiones exitosas: 795629, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21079, conexiones exitosas con 8QAM :294630, conexiones exitosas con QPSK :312470, conexiones exitosas con BPSK :167450
erlang index: 82, erlang: 82000, general blocking: 0.20561, BBP: 0.498109, Total current utilization: 0.562211, Blocked by XT: 71597, Ruta mas larga: 12700, tiempo transcurrido: 1.58439e+07, conexiones exitosas: 794391, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21651, conexiones exitosas con 8QAM :293020, conexiones exitosas con QPSK :312410, conexiones exitosas con BPSK :167310
erlang index: 83, erlang: 83000, general blocking: 0.207771, BBP: 0.501704, Total current utilization: 0.563431, Blocked by XT: 71334, Ruta mas larga: 12700, tiempo transcurrido: 1.59484e+07, conexiones exitosas: 792230, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20887, conexiones exitosas con 8QAM :293226, conexiones exitosas con QPSK :311259, conexiones exitosas con BPSK :166858
erlang index: 84, erlang: 84000, general blocking: 0.208808, BBP: 0.504225, Total current utilization: 0.566777, Blocked by XT: 73921, Ruta mas larga: 12700, tiempo transcurrido: 1.53709e+07, conexiones exitosas: 791193, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21002, conexiones exitosas con 8QAM :292189, conexiones exitosas con QPSK :310963, conexiones exitosas con BPSK :167039
erlang index: 85, erlang: 85000, general blocking: 0.210604, BBP: 0.506724, Total current utilization: 0.568552, Blocked by XT: 75589, Ruta mas larga: 12700, tiempo transcurrido: 1.49821e+07, conexiones exitosas: 789397, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21031, conexiones exitosas con 8QAM :291268, conexiones exitosas con QPSK :309786, conexiones exitosas con BPSK :167312
erlang index: 86, erlang: 86000, general blocking: 0.212226, BBP: 0.509537, Total current utilization: 0.571024, Blocked by XT: 72697, Ruta mas larga: 12700, tiempo transcurrido: 1.38165e+07, conexiones exitosas: 787775, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :21721, conexiones exitosas con 8QAM :290181, conexiones exitosas con QPSK :308802, conexiones exitosas con BPSK :167071
erlang index: 87, erlang: 87000, general blocking: 0.213225, BBP: 0.510738, Total current utilization: 0.572653, Blocked by XT: 77360, Ruta mas larga: 12700, tiempo transcurrido: 1.3528e+07, conexiones exitosas: 786776, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20650, conexiones exitosas con 8QAM :290837, conexiones exitosas con QPSK :307745, conexiones exitosas con BPSK :167544
erlang index: 88, erlang: 88000, general blocking: 0.215169, BBP: 0.514001, Total current utilization: 0.576561, Blocked by XT: 77335, Ruta mas larga: 12700, tiempo transcurrido: 1.33169e+07, conexiones exitosas: 784832, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20805, conexiones exitosas con 8QAM :289475, conexiones exitosas con QPSK :306416, conexiones exitosas con BPSK :168136
erlang index: 89, erlang: 89000, general blocking: 0.21643, BBP: 0.51684, Total current utilization: 0.577489, Blocked by XT: 78529, Ruta mas larga: 12700, tiempo transcurrido: 1.34755e+07, conexiones exitosas: 783571, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20193, conexiones exitosas con 8QAM :288525, conexiones exitosas con QPSK :306399, conexiones exitosas con BPSK :168454
erlang index: 90, erlang: 90000, general blocking: 0.218004, BBP: 0.519327, Total current utilization: 0.58169, Blocked by XT: 77331, Ruta mas larga: 12700, tiempo transcurrido: 1.31855e+07, conexiones exitosas: 781997, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20976, conexiones exitosas con 8QAM :287242, conexiones exitosas con QPSK :305512, conexiones exitosas con BPSK :168267
erlang index: 91, erlang: 91000, general blocking: 0.219299, BBP: 0.521403, Total current utilization: 0.582795, Blocked by XT: 79547, Ruta mas larga: 12700, tiempo transcurrido: 1.39272e+07, conexiones exitosas: 780702, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20601, conexiones exitosas con 8QAM :288170, conexiones exitosas con QPSK :304335, conexiones exitosas con BPSK :167596
erlang index: 92, erlang: 92000, general blocking: 0.220422, BBP: 0.522952, Total current utilization: 0.582644, Blocked by XT: 79402, Ruta mas larga: 12700, tiempo transcurrido: 1.13575e+07, conexiones exitosas: 779579, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20933, conexiones exitosas con 8QAM :286710, conexiones exitosas con QPSK :304059, conexiones exitosas con BPSK :167877
erlang index: 93, erlang: 93000, general blocking: 0.22216, BBP: 0.52609, Total current utilization: 0.587897, Blocked by XT: 81447, Ruta mas larga: 12700, tiempo transcurrido: 1.33464e+07, conexiones exitosas: 777841, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20381, conexiones exitosas con 8QAM :286938, conexiones exitosas con QPSK :302576, conexiones exitosas con BPSK :167946
erlang index: 94, erlang: 94000, general blocking: 0.223321, BBP: 0.528198, Total current utilization: 0.589021, Blocked by XT: 82440, Ruta mas larga: 12700, tiempo transcurrido: 1.36142e+07, conexiones exitosas: 776680, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20727, conexiones exitosas con 8QAM :285355, conexiones exitosas con QPSK :303218, conexiones exitosas con BPSK :167380
erlang index: 95, erlang: 95000, general blocking: 0.224811, BBP: 0.530479, Total current utilization: 0.590863, Blocked by XT: 81096, Ruta mas larga: 12700, tiempo transcurrido: 1.30748e+07, conexiones exitosas: 775190, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20858, conexiones exitosas con 8QAM :284747, conexiones exitosas con QPSK :302213, conexiones exitosas con BPSK :167372
erlang index: 96, erlang: 96000, general blocking: 0.226509, BBP: 0.533443, Total current utilization: 0.592956, Blocked by XT: 82393, Ruta mas larga: 12700, tiempo transcurrido: 1.23467e+07, conexiones exitosas: 773492, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20727, conexiones exitosas con 8QAM :284264, conexiones exitosas con QPSK :300693, conexiones exitosas con BPSK :167808
erlang index: 97, erlang: 97000, general blocking: 0.228139, BBP: 0.53629, Total current utilization: 0.594416, Blocked by XT: 79757, Ruta mas larga: 12700, tiempo transcurrido: 1.31673e+07, conexiones exitosas: 771862, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20688, conexiones exitosas con 8QAM :283775, conexiones exitosas con QPSK :300054, conexiones exitosas con BPSK :167345
erlang index: 98, erlang: 98000, general blocking: 0.228714, BBP: 0.537317, Total current utilization: 0.597768, Blocked by XT: 85891, Ruta mas larga: 12700, tiempo transcurrido: 1.44646e+07, conexiones exitosas: 771287, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20719, conexiones exitosas con 8QAM :282850, conexiones exitosas con QPSK :300238, conexiones exitosas con BPSK :167480
erlang index: 99, erlang: 99000, general blocking: 0.230656, BBP: 0.540854, Total current utilization: 0.599501, Blocked by XT: 84945, Ruta mas larga: 12700, tiempo transcurrido: 1.33841e+07, conexiones exitosas: 769345, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :20681, conexiones exitosas con 8QAM :282952, conexiones exitosas con QPSK :298534, conexiones exitosas con BPSK :167178
erlang index: 100, erlang: 100000, general blocking: 0.231632, BBP: 0.542484, Total current utilization: 0.602032, Blocked by XT: 86634, Ruta mas larga: 10300, tiempo transcurrido: 1.21095e+07, conexiones exitosas: 768369, Max XT for modulation 16QAM: -21.724, Max XT for modulation 8QAM: -25.2273, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.2607, conexiones exitosas con 16QAM :20095, conexiones exitosas con 8QAM :283900, conexiones exitosas con QPSK :297735, conexiones exitosas con BPSK :166639
