erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 13, erlang: 13000, general blocking: 0.031787, BBP: 0.0995897, Total current utilization: 0.220684, Blocked by XT: 6128, Ruta mas larga: 9800, tiempo transcurrido: 4.24202e+06, conexiones exitosas: 968214, Max XT for modulation 16QAM: -26.6544, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.2121, conexiones exitosas con 16QAM :127215, conexiones exitosas con 8QAM :235933, conexiones exitosas con QPSK :383463, conexiones exitosas con BPSK :221603
erlang index: 14, erlang: 14000, general blocking: 0.038344, BBP: 0.120122, Total current utilization: 0.229397, Blocked by XT: 6458, Ruta mas larga: 9800, tiempo transcurrido: 4.49013e+06, conexiones exitosas: 961657, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.2121, conexiones exitosas con 16QAM :128449, conexiones exitosas con 8QAM :237269, conexiones exitosas con QPSK :376260, conexiones exitosas con BPSK :219679
erlang index: 15, erlang: 15000, general blocking: 0.043378, BBP: 0.135788, Total current utilization: 0.238611, Blocked by XT: 6962, Ruta mas larga: 9800, tiempo transcurrido: 4.77192e+06, conexiones exitosas: 956623, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.2121, conexiones exitosas con 16QAM :129877, conexiones exitosas con 8QAM :238107, conexiones exitosas con QPSK :371645, conexiones exitosas con BPSK :216994
erlang index: 16, erlang: 16000, general blocking: 0.048357, BBP: 0.151427, Total current utilization: 0.246463, Blocked by XT: 7739, Ruta mas larga: 9800, tiempo transcurrido: 5.10619e+06, conexiones exitosas: 951644, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.2121, conexiones exitosas con 16QAM :129624, conexiones exitosas con 8QAM :241026, conexiones exitosas con QPSK :369057, conexiones exitosas con BPSK :211937
erlang index: 17, erlang: 17000, general blocking: 0.0524409, BBP: 0.164098, Total current utilization: 0.257952, Blocked by XT: 8133, Ruta mas larga: 9800, tiempo transcurrido: 5.76001e+06, conexiones exitosas: 947560, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :130737, conexiones exitosas con 8QAM :241972, conexiones exitosas con QPSK :368685, conexiones exitosas con BPSK :206166
erlang index: 18, erlang: 18000, general blocking: 0.0560249, BBP: 0.175205, Total current utilization: 0.266107, Blocked by XT: 8391, Ruta mas larga: 9800, tiempo transcurrido: 6.37008e+06, conexiones exitosas: 943976, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :130427, conexiones exitosas con 8QAM :243128, conexiones exitosas con QPSK :370608, conexiones exitosas con BPSK :199813
erlang index: 19, erlang: 19000, general blocking: 0.0596069, BBP: 0.186182, Total current utilization: 0.276577, Blocked by XT: 9177, Ruta mas larga: 9800, tiempo transcurrido: 6.56607e+06, conexiones exitosas: 940394, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :131179, conexiones exitosas con 8QAM :243180, conexiones exitosas con QPSK :370325, conexiones exitosas con BPSK :195710
erlang index: 20, erlang: 20000, general blocking: 0.0629039, BBP: 0.196254, Total current utilization: 0.283653, Blocked by XT: 9706, Ruta mas larga: 9800, tiempo transcurrido: 6.87643e+06, conexiones exitosas: 937097, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :132294, conexiones exitosas con 8QAM :241445, conexiones exitosas con QPSK :371428, conexiones exitosas con BPSK :191930
erlang index: 21, erlang: 21000, general blocking: 0.0659939, BBP: 0.205474, Total current utilization: 0.291422, Blocked by XT: 10861, Ruta mas larga: 9800, tiempo transcurrido: 7.30155e+06, conexiones exitosas: 934007, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :132761, conexiones exitosas con 8QAM :240158, conexiones exitosas con QPSK :371735, conexiones exitosas con BPSK :189353
erlang index: 22, erlang: 22000, general blocking: 0.0693769, BBP: 0.215803, Total current utilization: 0.300859, Blocked by XT: 11812, Ruta mas larga: 9800, tiempo transcurrido: 7.65833e+06, conexiones exitosas: 930624, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :133932, conexiones exitosas con 8QAM :238803, conexiones exitosas con QPSK :370980, conexiones exitosas con BPSK :186909
