erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
48,49000,0.914402,0.974575,4.188,0,0,0,0,0,0,0,0,21396,12522,508,0,34926,15928,318,0
49,50000,0.915678,0.974867,4.12274,0,0,0,0,0,0,0,0,21115,12378,545,0,34469,15421,394,0
50,51000,0.916878,0.97538,4.04733,0,0,0,0,0,0,0,0,20867,12040,534,0,33909,15422,350,0
51,52000,0.918626,0.975828,3.96707,0,0,0,0,0,0,0,0,20490,11934,476,0,33116,15016,342,0
52,53000,0.919904,0.976405,3.89334,0,0,0,0,0,0,0,0,20197,11429,516,0,32771,14881,302,0
53,54000,0.921365,0.976841,3.81482,0,0,0,0,0,0,0,0,19810,11598,501,0,31784,14633,309,0
54,55000,0.922776,0.977341,3.74021,0,0,0,0,0,0,0,0,19573,11227,479,0,31449,14191,305,0
55,56000,0.923959,0.977525,3.68551,0,0,0,0,0,0,0,0,19288,11038,472,0,30979,13947,317,0
56,57000,0.925005,0.977737,3.66268,0,0,0,0,0,0,0,0,18998,11142,429,0,30469,13638,319,0
57,58000,0.926481,0.978282,3.57941,0,0,0,0,0,0,0,0,18751,10738,394,0,29473,13859,304,0
58,59000,0.927456,0.978196,3.55086,0,0,0,0,0,0,0,0,18363,10234,410,0,29768,13488,281,0
59,60000,0.92894,0.978838,3.46332,0,0,0,0,0,0,0,0,17982,10369,408,0,28997,12984,320,0
60,61000,0.929928,0.979082,3.42349,0,0,0,0,0,0,0,0,17798,10258,428,0,28235,13064,289,0
61,62000,0.930907,0.979236,3.37867,0,0,0,0,0,0,0,0,17643,9846,406,0,28172,12737,289,0
62,63000,0.932137,0.979941,3.30114,0,0,0,0,0,0,0,0,17242,9802,451,0,27518,12616,234,0
63,64000,0.932799,0.97976,3.29796,0,0,0,0,0,0,0,0,17070,9585,431,0,27266,12599,250,0
64,65000,0.933549,0.980518,3.21238,0,0,0,0,0,0,0,0,16926,9676,374,0,26855,12331,289,0
65,66000,0.93471,0.980669,3.17881,0,0,0,0,0,0,0,0,16707,9552,399,0,26315,12010,307,0
66,67000,0.935956,0.981031,3.12944,0,0,0,0,0,0,0,0,16352,9117,343,0,25987,11965,280,0
67,68000,0.936794,0.981153,3.09968,0,0,0,0,0,0,0,0,16386,9070,402,0,25314,11750,284,0
68,69000,0.937492,0.981269,3.06269,0,0,0,0,0,0,0,0,15877,8995,396,0,25431,11527,282,0
69,70000,0.9387,0.981825,3.00874,0,0,0,0,0,0,0,0,15706,8882,341,0,24745,11383,243,0
70,71000,0.939175,0.981818,2.97664,0,0,0,0,0,0,0,0,15687,8684,370,0,24775,11077,232,0
71,72000,0.94034,0.982245,2.93309,0,0,0,0,0,0,0,0,15305,8481,412,0,23935,11263,264,0
72,73000,0.940747,0.982474,2.88948,0,0,0,0,0,0,0,0,15018,8604,385,0,24007,10989,250,0
73,74000,0.941632,0.982542,2.85649,0,0,0,0,0,0,0,0,15164,8451,339,0,23302,10867,245,0
74,75000,0.942495,0.982932,2.81291,0,0,0,0,0,0,0,0,14784,8138,386,0,23265,10678,254,0
75,76000,0.943066,0.983128,2.78147,0,0,0,0,0,0,0,0,14713,8040,364,0,22809,10784,224,0
76,77000,0.943582,0.983053,2.76542,0,0,0,0,0,0,0,0,14854,7954,356,0,22661,10346,247,0
77,78000,0.944359,0.983526,2.71831,0,0,0,0,0,0,0,0,14304,7909,339,0,22456,10376,257,0
78,79000,0.945191,0.983733,2.67575,0,0,0,0,0,0,0,0,14003,7941,343,0,22122,10148,252,0
79,80000,0.945968,0.983924,2.65978,0,0,0,0,0,0,0,0,13785,8017,350,0,21645,9995,240,0
80,81000,0.946392,0.984094,2.621,0,0,0,0,0,0,0,0,14046,7563,327,0,21484,9939,249,0
81,82000,0.947116,0.984388,2.58434,0,0,0,0,0,0,0,0,13753,7459,330,0,21209,9899,234,0
82,83000,0.947708,0.984484,2.55839,0,0,0,0,0,0,0,0,13408,7316,355,0,21215,9784,214,0
83,84000,0.948388,0.984612,2.53784,0,0,0,0,0,0,0,0,13407,7217,377,0,20768,9579,264,0
84,85000,0.948778,0.984658,2.52259,0,0,0,0,0,0,0,0,13084,7473,357,0,20585,9507,216,0
85,86000,0.949633,0.985116,2.4704,0,0,0,0,0,0,0,0,12813,7068,356,0,20377,9508,245,0
86,87000,0.949924,0.984965,2.47231,0,0,0,0,0,0,0,0,12672,7062,366,0,20387,9351,238,0
87,88000,0.950467,0.985422,2.4204,0,0,0,0,0,0,0,0,12904,7116,325,0,19768,9190,230,0
88,89000,0.951265,0.985649,2.39698,0,0,0,0,0,0,0,0,12561,6929,363,0,19492,9177,213,0
89,90000,0.95167,0.985539,2.38929,0,0,0,0,0,0,0,0,12335,6856,360,0,19489,9046,244,0
90,91000,0.952182,0.985829,2.348,0,0,0,0,0,0,0,0,12176,6643,363,0,19507,8901,228,0
91,92000,0.952527,0.985785,2.34615,0,0,0,0,0,0,0,0,12236,6766,356,0,19097,8805,213,0
92,93000,0.953149,0.986155,2.30166,0,0,0,0,0,0,0,0,12262,6464,350,0,18796,8792,187,0
93,94000,0.95342,0.986284,2.28743,0,0,0,0,0,0,0,0,11853,6731,326,0,18752,8699,219,0
94,95000,0.953865,0.986254,2.28382,0,0,0,0,0,0,0,0,11921,6625,347,0,18279,8761,202,0
95,96000,0.95422,0.986199,2.26423,0,0,0,0,0,0,0,0,11833,6466,319,0,18351,8603,208,0
96,97000,0.954687,0.986615,2.2233,0,0,0,0,0,0,0,0,11773,6484,344,0,17973,8502,237,0
97,98000,0.955325,0.986511,2.22556,0,0,0,0,0,0,0,0,11505,6341,346,0,17855,8406,222,0
98,99000,0.955774,0.986875,2.17735,0,0,0,0,0,0,0,0,11512,6207,325,0,17634,8357,191,0
99,100000,0.956241,0.986709,2.20217,0,0,0,0,0,0,0,0,11193,6063,363,0,17698,8215,227,0
