erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
48,49000,0.372606,0.736313,13.5961,32613,57911,40428,0,215335,0,0,0,127597,0,0,0,153511,0,0,0
49,50000,0.377893,0.740117,13.3901,32556,56378,41247,0,214284,0,0,0,126681,0,0,0,150962,0,0,0
50,51000,0.382753,0.745224,13.1841,31613,58405,40488,0,211960,0,0,0,126731,0,0,0,148051,0,0,0
51,52000,0.386643,0.748618,13.0315,31258,57133,42524,0,209839,0,0,0,126838,0,0,0,145766,0,0,0
52,53000,0.39185,0.750393,12.8611,31627,59113,40443,0,207470,0,0,0,126155,0,0,0,143343,0,0,0
53,54000,0.39563,0.752756,12.7209,30876,57201,42012,0,206354,0,0,0,126874,0,0,0,141054,0,0,0
54,55000,0.400909,0.754839,12.5416,30580,59106,40543,0,203989,0,0,0,125637,0,0,0,139237,0,0,0
55,56000,0.404801,0.758853,12.3899,30851,59404,40156,0,202557,0,0,0,125932,0,0,0,136300,0,0,0
56,57000,0.409501,0.760495,12.2538,30156,60933,38873,0,200417,0,0,0,125689,0,0,0,134432,0,0,0
57,58000,0.413949,0.763828,12.0912,30739,60640,38133,0,198842,0,0,0,125403,0,0,0,132295,0,0,0
58,59000,0.418515,0.766151,11.9336,30257,61328,37736,0,198097,0,0,0,124154,0,0,0,129914,0,0,0
59,60000,0.422374,0.7693,11.8052,29542,60207,38747,0,195824,0,0,0,125221,0,0,0,128086,0,0,0
60,61000,0.425682,0.770746,11.6864,29483,62209,37019,0,194924,0,0,0,124462,0,0,0,126222,0,0,0
61,62000,0.430251,0.774024,11.5367,29351,62374,36482,0,193336,0,0,0,123326,0,0,0,124881,0,0,0
62,63000,0.433936,0.77523,11.4294,28772,63271,36363,0,192398,0,0,0,122032,0,0,0,123229,0,0,0
63,64000,0.437309,0.777292,11.3129,28532,63139,35846,0,191236,0,0,0,122849,0,0,0,121090,0,0,0
64,65000,0.44119,0.780187,11.1696,28982,64508,34552,0,189264,0,0,0,122311,0,0,0,119194,0,0,0
65,66000,0.444699,0.782804,11.0507,28743,63372,34260,0,188793,0,0,0,122295,0,0,0,117839,0,0,0
66,67000,0.448989,0.784609,10.9296,28586,64161,33834,0,186573,0,0,0,121512,0,0,0,116346,0,0,0
67,68000,0.453297,0.787033,10.7843,27715,64627,32498,0,185560,0,0,0,121465,0,0,0,114839,0,0,0
68,69000,0.456464,0.789336,10.6813,28086,65059,32191,0,183687,0,0,0,120928,0,0,0,113586,0,0,0
69,70000,0.460104,0.790201,10.5837,27698,65958,31102,0,183691,0,0,0,119935,0,0,0,111513,0,0,0
70,71000,0.463698,0.792583,10.46,27541,66173,30442,0,181848,0,0,0,119723,0,0,0,110576,0,0,0
71,72000,0.467248,0.793894,10.3589,27559,65809,30129,0,181057,0,0,0,119543,0,0,0,108656,0,0,0
72,73000,0.46979,0.794975,10.2873,28018,65726,30450,0,179703,0,0,0,118902,0,0,0,107412,0,0,0
73,74000,0.474107,0.79782,10.161,26788,66869,29230,0,177939,0,0,0,118681,0,0,0,106387,0,0,0
74,75000,0.476717,0.799312,10.0662,27001,67205,28062,0,177473,0,0,0,117956,0,0,0,105587,0,0,0
75,76000,0.480698,0.801126,9.95515,26946,66987,27231,0,176171,0,0,0,117858,0,0,0,104110,0,0,0
76,77000,0.484122,0.803116,9.85329,26654,67400,26656,0,174873,0,0,0,117027,0,0,0,103269,0,0,0
77,78000,0.487003,0.803829,9.77695,26503,67697,27100,0,173688,0,0,0,116849,0,0,0,101161,0,0,0
78,79000,0.489931,0.805495,9.68643,27001,67350,26369,0,172639,0,0,0,116858,0,0,0,99853,0,0,0
79,80000,0.492189,0.806835,9.62562,26360,68694,25606,0,171324,0,0,0,116722,0,0,0,99106,0,0,0
80,81000,0.495911,0.808908,9.50207,26687,67347,25340,0,170412,0,0,0,115416,0,0,0,98888,0,0,0
81,82000,0.498372,0.810848,9.42107,26376,68950,24573,0,169193,0,0,0,115725,0,0,0,96812,0,0,0
82,83000,0.501818,0.811594,9.33729,26491,68828,23924,0,168263,0,0,0,115020,0,0,0,95656,0,0,0
83,84000,0.504596,0.813214,9.26424,26519,67810,24117,0,167392,0,0,0,114425,0,0,0,95141,0,0,0
84,85000,0.507692,0.81509,9.15904,26756,68709,22471,0,165932,0,0,0,114082,0,0,0,94358,0,0,0
85,86000,0.509921,0.816189,9.08767,26951,69189,22366,0,164469,0,0,0,113495,0,0,0,93609,0,0,0
86,87000,0.512512,0.817886,9.01993,26103,70364,22001,0,163415,0,0,0,113209,0,0,0,92396,0,0,0
87,88000,0.516488,0.819544,8.90635,26717,68093,21730,0,162762,0,0,0,112893,0,0,0,91317,0,0,0
