erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
49,50000,0.439814,0.706243,11.8212,138979,11181,0,0,123363,0,0,0,103707,0,0,0,182957,0,0,0
50,51000,0.443632,0.708153,11.6839,137924,11151,0,0,122870,0,0,0,103170,0,0,0,181254,0,0,0
51,52000,0.448409,0.711782,11.5018,136517,10945,0,0,122169,0,0,0,102497,0,0,0,179464,0,0,0
52,53000,0.451942,0.71324,11.3919,135625,10647,0,0,121871,0,0,0,102276,0,0,0,177640,0,0,0
53,54000,0.455995,0.71621,11.2532,134665,10489,0,0,120957,0,0,0,101833,0,0,0,176062,0,0,0
54,55000,0.460693,0.719564,11.0718,132984,10714,0,0,120382,0,0,0,100485,0,0,0,174743,0,0,0
55,56000,0.46481,0.721875,10.9329,131962,10419,0,0,119812,0,0,0,100286,0,0,0,172712,0,0,0
56,57000,0.468092,0.723901,10.8163,130733,10425,0,0,119313,0,0,0,100406,0,0,0,171032,0,0,0
57,58000,0.472028,0.727459,10.6567,130006,10443,0,0,118567,0,0,0,99295,0,0,0,169662,0,0,0
58,59000,0.475931,0.728891,10.5506,129726,10090,0,0,118043,0,0,0,98099,0,0,0,168112,0,0,0
59,60000,0.479188,0.730997,10.4395,129077,10172,0,0,117044,0,0,0,97489,0,0,0,167031,0,0,0
60,61000,0.483224,0.733468,10.2897,127856,9592,0,0,116213,0,0,0,96916,0,0,0,166200,0,0,0
61,62000,0.486128,0.735463,10.1962,127720,9725,0,0,115677,0,0,0,96082,0,0,0,164669,0,0,0
62,63000,0.489922,0.737981,10.0759,126737,9486,0,0,114685,0,0,0,96140,0,0,0,163031,0,0,0
63,64000,0.492731,0.740572,9.95888,125923,9928,0,0,114236,0,0,0,95421,0,0,0,161762,0,0,0
64,65000,0.496687,0.742212,9.84198,125101,9306,0,0,113888,0,0,0,94488,0,0,0,160531,0,0,0
65,66000,0.499749,0.743679,9.74949,124247,9139,0,0,113745,0,0,0,93650,0,0,0,159471,0,0,0
66,67000,0.502604,0.746609,9.63926,124287,9275,0,0,113171,0,0,0,92559,0,0,0,158104,0,0,0
67,68000,0.506303,0.748552,9.527,122984,9120,0,0,112136,0,0,0,93320,0,0,0,156137,0,0,0
68,69000,0.508912,0.750089,9.44403,122563,9207,0,0,111909,0,0,0,92061,0,0,0,155348,0,0,0
69,70000,0.511836,0.752505,9.34024,121882,9003,0,0,112106,0,0,0,90665,0,0,0,154508,0,0,0
70,71000,0.515088,0.753867,9.25247,120628,8955,0,0,110894,0,0,0,91689,0,0,0,152746,0,0,0
71,72000,0.5184,0.756106,9.14504,119818,8728,0,0,110425,0,0,0,90884,0,0,0,151745,0,0,0
72,73000,0.520949,0.75797,9.0586,119894,8655,0,0,109798,0,0,0,89884,0,0,0,150820,0,0,0
73,74000,0.523834,0.760459,8.95409,118797,8689,0,0,109620,0,0,0,89331,0,0,0,149729,0,0,0
74,75000,0.526787,0.76208,8.87507,118549,8532,0,0,108782,0,0,0,88845,0,0,0,148505,0,0,0
75,76000,0.529016,0.763528,8.79349,118471,8397,0,0,108303,0,0,0,88158,0,0,0,147655,0,0,0
76,77000,0.53127,0.764739,8.73451,117035,8594,0,0,107744,0,0,0,89119,0,0,0,146238,0,0,0
77,78000,0.533522,0.765897,8.6778,117002,8696,0,0,107754,0,0,0,87538,0,0,0,145488,0,0,0
78,79000,0.536702,0.768133,8.57327,115823,8839,0,0,107194,0,0,0,87230,0,0,0,144212,0,0,0
79,80000,0.539216,0.769909,8.485,115436,8495,0,0,106666,0,0,0,86723,0,0,0,143464,0,0,0
80,81000,0.54161,0.771409,8.42343,114971,8406,0,0,107098,0,0,0,85660,0,0,0,142255,0,0,0
81,82000,0.544496,0.773505,8.3284,114085,8196,0,0,105834,0,0,0,86231,0,0,0,141158,0,0,0
82,83000,0.546443,0.774935,8.27285,113690,8808,0,0,105882,0,0,0,84632,0,0,0,140545,0,0,0
83,84000,0.548684,0.775717,8.21839,113422,8367,0,0,105528,0,0,0,84886,0,0,0,139113,0,0,0
84,85000,0.551583,0.778004,8.13372,113075,8428,0,0,104347,0,0,0,84164,0,0,0,138403,0,0,0
85,86000,0.552937,0.777784,8.10441,112642,8570,0,0,104402,0,0,0,84194,0,0,0,137255,0,0,0
86,87000,0.55553,0.780297,8.02866,111629,8366,0,0,104579,0,0,0,83457,0,0,0,136439,0,0,0
87,88000,0.558375,0.782356,7.93758,110652,8346,0,0,103643,0,0,0,83575,0,0,0,135409,0,0,0
88,89000,0.560662,0.783221,7.88376,110447,8190,0,0,103639,0,0,0,82498,0,0,0,134564,0,0,0
89,90000,0.562567,0.784937,7.81127,110581,8080,0,0,102513,0,0,0,82517,0,0,0,133742,0,0,0
90,91000,0.564614,0.786071,7.75709,109959,8306,0,0,102274,0,0,0,81729,0,0,0,133118,0,0,0
91,92000,0.566517,0.787556,7.70313,109102,8512,0,0,102556,0,0,0,81703,0,0,0,131610,0,0,0
92,93000,0.56858,0.78886,7.63329,108463,8099,0,0,102657,0,0,0,80916,0,0,0,131285,0,0,0
93,94000,0.570911,0.789822,7.58799,107734,8440,0,0,101374,0,0,0,81013,0,0,0,130528,0,0,0
94,95000,0.572809,0.791558,7.51861,107231,8572,0,0,100903,0,0,0,80540,0,0,0,129945,0,0,0
95,96000,0.574546,0.792485,7.47432,107102,8004,0,0,100938,0,0,0,80404,0,0,0,129006,0,0,0
96,97000,0.577418,0.7936,7.42149,106185,7913,0,0,100006,0,0,0,80199,0,0,0,128279,0,0,0
97,98000,0.578223,0.795026,7.36171,106346,8358,0,0,99554,0,0,0,79639,0,0,0,127880,0,0,0
98,99000,0.581015,0.796963,7.29996,105093,8047,0,0,99872,0,0,0,79094,0,0,0,126879,0,0,0
99,100000,0.582559,0.797638,7.25184,105648,8065,0,0,99197,0,0,0,78830,0,0,0,125701,0,0,0
