erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
42,43000,0.865958,0.959782,2.14657,927,4030,2196,6453,9592,7494,6902,462,21732,14385,2935,0,26238,26071,4496,129
43,44000,0.868033,0.96048,2.10215,904,4019,2214,6475,9758,7461,6784,451,21273,14213,2819,0,25697,25411,4377,111
44,45000,0.87038,0.961062,2.0619,1019,4037,2383,6500,9633,7094,6666,418,20524,14078,2639,0,25190,25019,4314,106
45,46000,0.872335,0.961725,2.02738,844,4245,2174,6313,9470,7106,6461,414,20534,13659,2685,0,24739,24693,4237,91
46,47000,0.874828,0.962756,1.97697,891,3940,2177,6322,9341,7044,6193,368,20143,13320,2719,0,24173,24477,3970,94
47,48000,0.876956,0.963145,1.94431,867,3793,2244,6365,9202,6963,6192,328,19942,13267,2589,0,23568,23651,3981,92
48,49000,0.878795,0.963893,1.91141,813,3995,2256,6236,9288,6966,5946,262,19607,13007,2558,0,23057,23184,3928,102
49,50000,0.880672,0.964287,1.87624,887,3923,2310,6066,8921,6919,6134,265,19350,12711,2485,0,22614,22948,3706,89
50,51000,0.882595,0.965133,1.84405,900,3919,2269,6213,9126,7091,5584,278,18650,12475,2360,0,22463,22369,3612,96
51,52000,0.884375,0.965627,1.80417,844,4013,2206,6083,9289,6609,5554,263,18521,12202,2424,0,21717,22079,3730,91
52,53000,0.886362,0.966124,1.78011,860,4023,2282,5891,8955,6230,5640,269,18123,11970,2358,0,21622,21762,3549,104
53,54000,0.888075,0.966593,1.74814,879,3806,2263,5701,9089,6454,5613,231,18181,11647,2253,0,20957,21165,3606,80
