erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
29,29000,0.290445,0.609244,0.594711,0,872,1.36595e+06,709556,-25.0918,-24.879,-99,-99,709554,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709554,2,0,0
30,30000,0.299024,0.618662,0.597176,1,872,1.40395e+06,700977,-25.0918,-99,-99,-99,700977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700977,0,0,0
31,31000,0.305989,0.623664,0.600584,0,872,1.32878e+06,694012,-25.0918,-26.3405,-99,-99,694010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694010,2,0,0
32,32000,0.313838,0.631092,0.605727,0,872,1.33163e+06,686163,-25.0918,-24.879,-99,-99,686162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686162,1,0,0
33,33000,0.320953,0.637547,0.6112,0,872,1.3449e+06,679048,-25.039,-99,-99,-99,679048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679048,0,0,0
34,34000,0.329016,0.642787,0.615507,1,872,1.32688e+06,670985,-25.039,-24.879,-99,-99,670984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670984,1,0,0
35,35000,0.335789,0.649705,0.618446,3,872,1.47474e+06,664212,-25.0918,-24.879,-99,-99,664211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664211,1,0,0
36,36000,0.342467,0.655096,0.62139,0,872,1.35686e+06,657534,-25.0918,-24.7736,-99,-99,657532,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657532,2,0,0
37,37000,0.35074,0.661166,0.624292,1,872,1.58223e+06,649261,-25.0918,-24.879,-99,-99,649260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649260,1,0,0
38,38000,0.357262,0.666419,0.627838,2,872,1.33861e+06,642739,-25.0918,-99,-99,-99,642739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642739,0,0,0
39,39000,0.362574,0.669146,0.632294,3,872,1.51624e+06,637427,-25.0918,-99,-99,-99,637427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637427,0,0,0
40,40000,0.369536,0.675413,0.637001,0,872,1.45455e+06,630465,-25.0918,-26.3405,-99,-99,630464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630464,1,0,0
41,41000,0.375212,0.679619,0.639556,0,872,1.57321e+06,624789,-25.0918,-99,-99,-99,624789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624789,0,0,0
42,42000,0.381511,0.684139,0.641249,3,872,1.45374e+06,618490,-25.0918,-99,-99,-99,618490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618490,0,0,0
43,43000,0.387565,0.688169,0.645232,0,872,1.56794e+06,612436,-25.0918,-24.8177,-99,-99,612433,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612433,3,0,0
44,44000,0.391937,0.691538,0.649177,0,872,1.48442e+06,608064,-25.039,-24.879,-99,-99,608062,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608062,2,0,0
45,45000,0.398225,0.696481,0.650732,0,872,1.59827e+06,601776,-25.0918,-99,-99,-99,601776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601776,0,0,0
46,46000,0.403958,0.70069,0.654693,1,872,1.59767e+06,596043,-25.0918,-24.879,-99,-99,596042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596042,1,0,0
47,47000,0.407832,0.702686,0.657222,1,872,1.58415e+06,592169,-25.039,-24.8958,-99,-99,592168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592168,1,0,0
48,48000,0.414051,0.707557,0.657908,0,872,1.69201e+06,585950,-25.0918,-99,-99,-99,585950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585950,0,0,0
49,49000,0.417669,0.710122,0.664713,0,872,1.6276e+06,582332,-25.0918,-26.3405,-99,-99,582331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582331,1,0,0
50,50000,0.422411,0.713334,0.665905,0,872,1.76254e+06,577590,-25.0918,-99,-99,-99,577590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577590,0,0,0
51,51000,0.427788,0.718162,0.667918,0,872,1.58714e+06,572213,-25.0918,-24.879,-99,-99,572212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572212,1,0,0
52,52000,0.432442,0.720857,0.672614,0,872,1.88964e+06,567559,-25.0918,-99,-99,-99,567559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567559,0,0,0
53,53000,0.437133,0.723096,0.67288,0,872,1.85926e+06,562868,-25.0918,-26.3405,-99,-99,562867,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562867,1,0,0
54,54000,0.440678,0.726447,0.677256,0,872,1.68677e+06,559323,-25.0918,-24.879,-99,-99,559322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559322,1,0,0
55,55000,0.445773,0.728856,0.678161,2,872,1.82744e+06,554228,-25.0918,-24.879,-99,-99,554226,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554226,2,0,0
56,56000,0.450191,0.731922,0.678209,1,872,1.55631e+06,549810,-25.0918,-24.879,-99,-99,549809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549809,1,0,0
57,57000,0.454167,0.734428,0.683704,0,872,1.68211e+06,545834,-25.0918,-99,-99,-99,545834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545834,0,0,0
58,58000,0.458611,0.737563,0.684545,0,872,1.88789e+06,541390,-25.0918,-99,-99,-99,541390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541390,0,0,0
59,59000,0.461793,0.739429,0.685967,0,872,1.87179e+06,538208,-25.0918,-99,-99,-99,538208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538208,0,0,0
60,60000,0.466548,0.742185,0.688544,2,872,1.93362e+06,533453,-25.0918,-24.879,-99,-99,533452,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533452,1,0,0
61,61000,0.470085,0.744496,0.692515,0,872,1.79429e+06,529916,-25.0918,-99,-99,-99,529916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529916,0,0,0
62,62000,0.473998,0.747299,0.693798,0,872,1.88327e+06,526003,-25.0918,-99,-99,-99,526003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526003,0,0,0
63,63000,0.477979,0.750125,0.695353,1,872,1.89299e+06,522022,-25.0918,-28.1016,-99,-99,522021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522021,1,0,0
64,64000,0.48132,0.751813,0.695561,2,872,1.86564e+06,518681,-25.0918,-24.879,-99,-99,518680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518680,1,0,0
65,65000,0.484578,0.753615,0.698947,0,872,1.7698e+06,515423,-25.0918,-24.879,-99,-99,515422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515422,1,0,0
66,66000,0.487948,0.756029,0.702525,0,872,2.103e+06,512053,-25.0918,-24.879,-99,-99,512051,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512051,2,0,0
67,67000,0.491794,0.75934,0.702621,0,872,2.07002e+06,508207,-25.0918,-24.879,-99,-99,508206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508206,1,0,0
68,68000,0.494823,0.760155,0.705969,0,872,2.00126e+06,505178,-25.0918,-24.879,-99,-99,505177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505177,1,0,0
69,69000,0.497878,0.762094,0.707854,0,872,2.1285e+06,502123,-25.039,-99,-99,-99,502123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502123,0,0,0
70,70000,0.501639,0.76506,0.709872,1,872,2.15908e+06,498361,-25.0918,-99,-99,-99,498361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498361,0,0,0
71,71000,0.504522,0.766965,0.710921,0,872,1.84832e+06,495478,-25.039,-24.879,-99,-99,495476,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495476,2,0,0
72,72000,0.507024,0.768177,0.715798,2,872,1.97561e+06,492976,-25.0918,-24.879,-99,-99,492975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492975,1,0,0
73,73000,0.510646,0.771116,0.71657,0,872,2.16017e+06,489354,-25.0918,-24.879,-99,-99,489353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489353,1,0,0
74,74000,0.513841,0.772897,0.717012,0,872,1.77676e+06,486159,-25.2234,-24.879,-99,-99,486158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486158,1,0,0
75,75000,0.516471,0.774361,0.72076,0,872,1.99359e+06,483529,-25.0918,-99,-99,-99,483529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483529,0,0,0
76,76000,0.519264,0.776055,0.721468,1,872,2.09583e+06,480736,-25.0918,-24.879,-99,-99,480734,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480734,2,0,0
77,77000,0.521075,0.776268,0.724859,0,872,1.98631e+06,478925,-25.2234,-99,-99,-99,478925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478925,0,0,0
78,78000,0.523796,0.779015,0.727223,0,872,1.84071e+06,476204,-25.2234,-99,-99,-99,476204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476204,0,0,0
79,79000,0.526615,0.78155,0.729135,0,872,2.06367e+06,473385,-25.0918,-26.3405,-99,-99,473383,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473383,2,0,0
80,80000,0.529608,0.782644,0.730343,2,872,2.1629e+06,470392,-25.2234,-24.879,-99,-99,470391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470391,1,0,0
81,81000,0.531775,0.784665,0.730327,0,872,1.8834e+06,468225,-25.2234,-99,-99,-99,468225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468225,0,0,0
82,82000,0.534122,0.78577,0.733575,0,872,1.89976e+06,465878,-25.0158,-99,-99,-99,465878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465878,0,0,0
83,83000,0.536925,0.787652,0.737733,0,872,2.08218e+06,463075,-25.0918,-99,-99,-99,463075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463075,0,0,0
84,84000,0.539273,0.789654,0.738143,0,872,2.17214e+06,460727,-25.039,-99,-99,-99,460727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460727,0,0,0
85,85000,0.541846,0.79007,0.742301,0,872,1.85083e+06,458154,-25.0918,-24.879,-99,-99,458153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458153,1,0,0
86,86000,0.544365,0.792851,0.739783,0,872,1.87981e+06,455635,-25.2234,-24.879,-99,-99,455633,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455633,2,0,0
87,87000,0.546043,0.794205,0.743989,0,872,2.1126e+06,453957,-25.0158,-99,-99,-99,453957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453957,0,0,0
88,88000,0.548815,0.795422,0.742525,0,872,2.20337e+06,451185,-25.0918,-99,-99,-99,451185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451185,0,0,0
89,89000,0.550276,0.797365,0.745991,0,872,1.7554e+06,449724,-25.0918,-24.879,-99,-99,449722,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449722,2,0,0
90,90000,0.55272,0.797782,0.747476,1,872,1.94225e+06,447280,-25.0918,-99,-99,-99,447280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447280,0,0,0
91,91000,0.555276,0.798716,0.749766,0,872,2.18283e+06,444724,-25.0158,-99,-99,-99,444724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444724,0,0,0
92,92000,0.55724,0.800585,0.750437,0,872,2.22575e+06,442760,-25.0918,-24.879,-99,-99,442758,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442758,2,0,0
93,93000,0.559504,0.802566,0.753226,0,872,1.96478e+06,440496,-25.0918,-24.879,-99,-99,440495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440495,1,0,0
94,94000,0.561398,0.804106,0.753216,0,872,2.15832e+06,438602,-25.2234,-24.7736,-99,-99,438601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438601,1,0,0
95,95000,0.564333,0.806012,0.755691,0,872,2.23366e+06,435667,-25.0918,-24.879,-99,-99,435665,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435665,2,0,0
96,96000,0.565724,0.806424,0.756873,0,872,2.19313e+06,434276,-25.0918,-99,-99,-99,434276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434276,0,0,0
97,97000,0.567654,0.8083,0.758678,0,872,2.00872e+06,432346,-25.0918,-24.879,-99,-99,432344,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432344,2,0,0
98,98000,0.569856,0.808834,0.756091,0,872,2.26947e+06,430144,-25.0918,-24.879,-99,-99,430143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430143,1,0,0
99,99000,0.570895,0.810669,0.759291,0,872,2.35764e+06,429105,-25.0918,-99,-99,-99,429105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429105,0,0,0
100,100000,0.573204,0.811532,0.762059,0,872,2.17641e+06,426796,-25.0918,-24.879,-99,-99,426795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426795,1,0,0
erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.0755601,0,771,89632.5,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0
2,2000,0,0,0.148022,0,771,147632,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0
3,3000,0.000185,0.000579709,0.213205,0,774,213376,999816,-25.2234,-24.8958,-99,-99,999807,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999807,9,0,0
4,4000,0.003505,0.0109719,0.270945,0,774,282479,996496,-25.2052,-99,-99,-99,996496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996496,0,0,0
5,5000,0.017989,0.0562559,0.313128,0,774,345515,982012,-25.2052,-99,-99,-99,982012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982012,0,0,0
6,6000,0.03649,0.11367,0.340942,0,774,415540,963511,-25.2234,-99,-99,-99,963511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963511,0,0,0
7,7000,0.0524629,0.161556,0.373227,0,774,480191,947538,-25.2234,-99,-99,-99,947538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947538,0,0,0
8,8000,0.0677879,0.204076,0.393049,0,774,534947,932213,-25.2234,-99,-99,-99,932213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932213,0,0,0
9,9000,0.0817759,0.240469,0.414798,0,815,598223,918225,-25.2234,-24.879,-99,-99,918222,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918222,3,0,0
10,10000,0.0958809,0.275285,0.434684,0,815,680118,904120,-25.0918,-24.879,-99,-99,904096,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904096,24,0,0
11,11000,0.109486,0.307469,0.450778,0,815,683595,890515,-25.0918,-24.879,-99,-99,890498,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890498,17,0,0
12,12000,0.121892,0.335991,0.464584,0,815,736212,878109,-25.0918,-24.879,-99,-99,878095,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878095,14,0,0
13,13000,0.134253,0.362392,0.477197,0,815,793520,865748,-25.0918,-24.879,-99,-99,865737,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865737,11,0,0
14,14000,0.147224,0.389549,0.489096,0,815,833068,852777,-25.0918,-24.879,-99,-99,852769,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852769,8,0,0
15,15000,0.159494,0.413033,0.498259,0,815,874476,840507,-25.0918,-24.879,-99,-99,840505,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840505,2,0,0
16,16000,0.17126,0.435907,0.507523,0,815,913672,828741,-25.0918,-24.879,-99,-99,828735,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828735,6,0,0
17,17000,0.18203,0.45673,0.518059,0,815,964027,817971,-25.0918,-99,-99,-99,817971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817971,0,0,0
18,18000,0.1936,0.476701,0.522303,0,815,1.00639e+06,806401,-25.0918,-24.879,-99,-99,806400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806400,1,0,0
19,19000,0.20395,0.495371,0.531354,0,815,1.00474e+06,796051,-25.0918,-24.879,-99,-99,796050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796050,1,0,0
20,20000,0.214375,0.512841,0.537205,0,815,1.07138e+06,785626,-25.0918,-99,-99,-99,785626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785626,0,0,0
21,21000,0.223057,0.525243,0.546602,0,815,1.10932e+06,776944,-25.0918,-26.3405,-99,-99,776943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776943,1,0,0
22,22000,0.232453,0.539729,0.552342,0,815,1.13275e+06,767548,-25.039,-30.3203,-99,-99,767546,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767546,2,0,0
23,23000,0.241931,0.553144,0.558773,0,856,1.14912e+06,758070,-25.0918,-99,-99,-99,758070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758070,0,0,0
24,24000,0.250403,0.563835,0.5671,0,856,1.19585e+06,749598,-25.0918,-99,-99,-99,749598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749598,0,0,0
25,25000,0.258737,0.575209,0.571572,0,856,1.27375e+06,741264,-25.0918,-24.879,-99,-99,741263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741263,1,0,0
26,26000,0.266559,0.585966,0.577865,0,856,1.25191e+06,733442,-25.0918,-24.879,-99,-99,733440,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733440,2,0,0
27,27000,0.27449,0.594336,0.583674,0,872,1.33431e+06,725511,-25.0918,-24.8958,-99,-99,725510,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725510,1,0,0
28,28000,0.282446,0.602778,0.589477,0,872,1.34751e+06,717555,-25.0918,-24.879,-99,-99,717553,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717553,2,0,0
29,29000,0.290445,0.609244,0.594711,0,872,1.38338e+06,709556,-25.0918,-24.879,-99,-99,709554,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709554,2,0,0
30,30000,0.299024,0.618662,0.597176,0,872,1.40644e+06,700977,-25.0918,-99,-99,-99,700977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700977,0,0,0
31,31000,0.305989,0.623664,0.600584,0,872,1.44746e+06,694012,-25.0918,-26.3405,-99,-99,694010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694010,2,0,0
32,32000,0.313838,0.631092,0.605727,0,872,1.37933e+06,686163,-25.0918,-24.879,-99,-99,686162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686162,1,0,0
